date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-03-17,Tuesday,DWC,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,3,39.0,,14.0,128,15
2026-03-06,Friday,AERO,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,104,40.4,,38.0,397,32
2026-02-11,Wednesday,DWC,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,2,32.7,,7.0,56,12
2026-03-14,Saturday,AERO,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,106,36.0,,39.0,595,55
2026-03-17,Tuesday,AERO,6.665531384466342,5.559729795350181,787.417345009818,21.84491006340853,64.87931343935803,102,32.3,,26.0,314,34
2026-03-03,Tuesday,AERO,6.099166666666666,3.657291666666667,652.5625,23.05125,63.14375,101,24.9,,15.0,223,22
2026-02-27,Friday,DWC,6.084166666666667,3.692083333333333,616.9583333333334,23.201666666666668,63.08541666666667,2,36.1,,15.0,122,19
2026-03-16,Monday,DWC,6.276875,3.726458333333333,786.5625,23.263125,63.2775,3,38.6,,15.0,126,15
2026-02-11,Wednesday,DWC,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,4,28.7,,10.0,71,16
2026-03-02,Monday,AERO,6.104791666666666,3.6670833333333337,642.1666666666666,23.29479166666667,62.83145833333333,105,37.3,,30.0,314,43
2026-02-18,Wednesday,AERO,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,101,22.7,,14.0,132,13
2026-02-18,Wednesday,DWC,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,4,30.3,,15.0,102,21
2026-02-24,Tuesday,AERO,6.03625,3.7708333333333335,584.6875,23.178541666666664,63.379375,106,32.8,,19.0,198,30
2026-03-16,Monday,DWC,6.276875,3.726458333333333,786.5625,23.263125,63.2775,2,41.0,,21.0,192,46
2026-03-16,Monday,DWC,6.276875,3.726458333333333,786.5625,23.263125,63.2775,4,35.9,,23.0,276,38
2026-02-11,Wednesday,DWC,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,1,25.1,,12.0,106,11
2026-02-06,Friday,DWC,5.7977083333333335,3.6983333333333337,399.1458333333333,23.085,63.29375,3,37.5,,8.0,31,2
2026-02-21,Saturday,DWC,6.005,3.77,559.3333333333334,23.191875,63.635,6,36.3,,18.0,86,12
2026-02-11,Wednesday,AERO,5.878333333333334,3.655625,445.2708333333333,23.308125,63.375416666666666,103,23.7,,12.0,115,12
